Throttle,Voltage,Thrust,CT,Torque,Current,RPM,n,Inputpower,Efficiency
40,47.9,2898,0.072240697,0.73,7.21,3444,57.4,345.38,8.39
42,47.88,3200,0.073330923,0.8,8.2,3592,59.86666667,392.66,8.15
44,47.86,3464,0.072368593,0.86,9.09,3762,62.7,435.1,7.96
46,47.83,3722,0.072057151,0.93,10.29,3908,65.13333333,492.24,7.56
48,47.8,4059,0.072700138,1.02,11.56,4063,67.71666667,552.31,7.35
50,47.77,4385,0.072597295,1.09,12.94,4226,70.43333333,618.17,7.09
52,47.75,4663,0.072794316,1.16,14.12,4352,72.53333333,674.42,6.91
54,47.72,4995,0.073322899,1.24,15.46,4488,74.8,737.53,6.77
56,47.7,5266,0.07301008,1.31,16.76,4618,76.96666667,799.58,6.59
58,47.67,5525,0.072892963,1.36,18,4734,78.9,858.07,6.44
60,47.63,5788,0.072484401,1.44,19.46,4859,80.98333333,927.06,6.24
62,47.6,6153,0.073356408,1.52,21.06,4980,83,1002.58,6.14
64,47.58,6455,0.073176959,1.6,22.61,5107,85.11666667,1075.7,6
66,47.53,6771,0.072884357,1.68,24.51,5241,87.35,1164.96,5.81
68,47.49,7049,0.072463907,1.75,26.19,5363,89.38333333,1243.96,5.67
70,47.45,7383,0.072505805,1.84,28.11,5487,91.45,1334.04,5.53
80,47.23,9108,0.074185452,2.28,38.69,6025,100.4166667,1827.49,4.98
90,46.95,10917,0.07498477,2.8,52.16,6561,109.35,2448.72,4.46
100,46.6,12761,0.076215425,3.26,68.3,7036,117.2666667,3180.62,4.01
